Designator,Mid X,Mid Y,Rotation,Layer
R209,214.595,-53.86,180.0,bottom
R21,170.675,-27.02,180.0,bottom
R210,214.6,-79.45,180.0,bottom
R211,214.955,-104.13,180.0,bottom
R212,215.955,-29.52,180.0,bottom
R213,216.595,-50.48,180.0,bottom
R214,216.6,-75.95,180.0,bottom
R215,217.105,-100.61,180.0,bottom
R216,214.205,-26.02,180.0,bottom
R217,214.595,-47.0,180.0,bottom
R218,214.6,-72.6,180.0,bottom
R219,214.605,-96.86,180.0,bottom
R22,170.75,-32.5,180.0,bottom
R223,161.78,-41.79,0.0,bottom
R224,148.45,-57.825,0.0,bottom
R225,150.65,-61.15,0.0,bottom
R226,160.95,-84.09,0.0,bottom
R227,149.33,-106.155,0.0,bottom
R228,163.175,-87.115,0.0,bottom
R229,151.855,-109.505,0.0,bottom
R23,173.0,-36.0,180.0,bottom
R230,196.975,-36.8,0.0,bottom
R231,183.62,-61.87,0.0,bottom
R232,196.4,-87.15,0.0,bottom
R233,198.015,-108.175,0.0,bottom
R234,199.325,-40.925,0.0,bottom
R235,185.995,-65.095,0.0,bottom
R236,200.135,-88.225,0.0,bottom
R237,200.74,-111.625,0.0,bottom
R238,142.275,-25.15,0.0,bottom
R239,139.95,-21.625,0.0,bottom
R24,170.75,-39.5,180.0,bottom
R240,139.875,-28.6,0.0,bottom
R25,176.425,-26.5,180.0,bottom
R26,178.425,-30.0,180.0,bottom
R27,176.425,-33.5,180.0,bottom
R28,165.175,-36.04,180.0,bottom
R29,167.175,-39.54,180.0,bottom
R3,159.555,-38.765,0.0,bottom
R30,165.175,-43.04,180.0,bottom
R31,148.585,-48.41,180.0,bottom
R32,150.835,-51.91,180.0,bottom
R33,148.085,-55.66,180.0,bottom
R34,154.125,-41.91,180.0,bottom
R35,154.145,-55.37,180.0,bottom
R36,156.375,-45.41,180.0,bottom
R37,156.395,-58.87,180.0,bottom
R38,154.125,-48.91,180.0,bottom
R39,153.895,-62.37,180.0,bottom
R4,148.365,-27.25,180.0,bottom
R40,159.645,-48.66,180.0,bottom
R41,161.895,-52.16,180.0,bottom
R42,165.15,-58.06,180.0,bottom
R43,159.645,-55.64,180.0,bottom
R44,167.4,-61.56,180.0,bottom
R45,165.15,-65.06,180.0,bottom
R46,165.145,-48.51,180.0,bottom
R47,167.145,-52.01,180.0,bottom
R48,165.145,-55.51,180.0,bottom
R49,170.665,-42.12,180.0,bottom
R5,150.465,-30.5,180.0,bottom
R50,170.72,-55.6,180.0,bottom
R51,172.915,-45.62,180.0,bottom
R52,172.97,-59.1,180.0,bottom
R53,170.665,-49.1,180.0,bottom
R54,170.72,-62.6,180.0,bottom
R55,176.185,-48.85,180.0,bottom
R56,178.185,-52.35,180.0,bottom
R57,176.185,-55.85,180.0,bottom
R58,149.855,-71.82,180.0,bottom
R59,152.105,-75.32,180.0,bottom
R6,148.29,-34.25,180.0,bottom
R60,149.855,-78.82,180.0,bottom
R61,155.415,-65.08,180.0,bottom
R62,155.435,-79.06,180.0,bottom
R63,157.665,-68.58,180.0,bottom
R64,157.435,-82.56,180.0,bottom
R65,155.165,-72.08,180.0,bottom
R66,155.435,-86.06,180.0,bottom
R67,160.935,-72.08,180.0,bottom
R68,163.185,-75.58,180.0,bottom
R69,166.535,-81.6,180.0,bottom
R7,153.905,-20.14,180.0,bottom
R70,160.935,-79.0,180.0,bottom
R71,168.785,-85.03,180.0,bottom
R72,166.535,-88.4,180.0,bottom
R73,166.455,-72.04,180.0,bottom
R74,168.705,-75.54,180.0,bottom
R75,166.455,-79.04,180.0,bottom
R76,171.955,-65.54,180.0,bottom
R77,172.205,-79.82,180.0,bottom
R78,173.955,-69.04,180.0,bottom
R79,174.205,-83.32,180.0,bottom
R8,156.155,-23.64,180.0,bottom
R80,171.955,-72.54,180.0,bottom
R81,172.205,-86.82,180.0,bottom
R82,177.665,-72.36,180.0,bottom
R83,179.665,-75.86,180.0,bottom
R84,177.665,-79.36,180.0,bottom
R85,150.505,-96.13,180.0,bottom
R86,152.755,-99.63,180.0,bottom
R87,150.505,-103.13,180.0,bottom
R88,156.175,-89.63,180.0,bottom
R89,155.945,-102.77,180.0,bottom
R9,153.905,-27.14,180.0,bottom
R90,158.425,-93.13,180.0,bottom
R91,158.195,-106.02,180.0,bottom
R92,156.175,-96.63,180.0,bottom
R93,155.945,-109.52,180.0,bottom
R94,161.695,-96.4,180.0,bottom
R95,163.945,-99.86,180.0,bottom
R96,167.425,-106.0,180.0,bottom
R97,161.695,-103.36,180.0,bottom
R98,169.425,-109.34,180.0,bottom
R99,167.425,-112.84,180.0,bottom
